Référence	ContexteGauche	Pivot	ContexteDroit
qgraal_cm, p. 200b	il ert ja morz, et quant il voit ce si raquelt sa voie et	chevauche_|chevaucher|_VERcjg	jusqu'aprés vespres. Au soir li avint si come aventure le mena qu'il
qgraal_cm, p. 201d	a la juene dame n'oserent les testes lever, Boort s'em parti et	chevaucha_|chevaucher|_VERcjg	parmi la forest pensant a ce qu'il avoit veu en dormant, car mout
qgraal_cm, p. 202a	voiz : « Sainte Marie secorez vostre pucele. » Et quant ele voit Boort	chevauchier_|chevaucher|_VERinf	toz seus si pense que ce soit des chevaliers erranz de la queste, lors
qgraal_cm, p. 202b	part atant d'ax, et cil enmeinent la pucele a sauveté. Et Boort	chevauche_|chevaucher|_VERcjg	cele part ou il ot veu Lyonel son frere. Et quant il vint a
qgraal_cm, p. 202c	a grant piece alé si ateint.i. home vestu de robe de religion, et	chevauchoit_|chevaucher|_VERcjg	.i. cheval plus noir que meure. Quant cil ot que Boort venoit aprés lui
qgraal_cm, p. 203c	por l'amor de l'anemi qui i repere. Quant il a une piece	chevauchié_|chevaucher|_VERppe	si escoute et ot une cloche soner a senestre, et il est mout liez
qgraal_cm, p. 205a	Dieu. Quant il se fu armez il se met en son chemin, et	chevaucha_|chevaucher|_VERcjg	tant qu'il vint au soir chiés une veve dame qui mout bien le herberja
qgraal_cm, p. 205a	dame qui mout bien le herberja, au matin se met a la voie et	chevaucha_|chevaucher|_VERcjg	jusqu'a un chastel que l'en apeloit Tubele, et seoit en une valee.
qgraal_cm, p. 206b	sele et le frain, et quant il est apareilliez si s'em part et	chevauche_|chevaucher|_VERcjg	jusqu'a une abeïe, la nuit quant il se fu couchiez oï une voiz
qgraal_cm, p. 206b	oultre, si se part de laienz que nus ne s'en aperçoit, et	chevauche_|chevaucher|_VERcjg	tant qu'a la mer vient, et troeve une nef a la rive toute
qgraal_cm, p. 206d	s'il vousist chascune dire par soi. Quant li bons chevaliers ot grant piece	chevauchié_|chevaucher|_VERppe	par le roiaume de Logres en toz les leuz ou il oï parler qu'il
qgraal_cm, p. 206d	leuz ou il oï parler qu'il eust aventure. Si s'em parti et	chevaucha_|chevaucher|_VERcjg	tant qu'il vint vers la mer, et quant il i vint si li
qgraal_cm, p. 207b	le rendra dedenz.i. mois sain et haitié en tel maniere qu'il porra bien	chevauchier_|chevaucher|_VERinf	et porter armes, et cil li creantent que s'il ce puet fere il
qgraal_cm, p. 207b	s'en volt onques partir devant qu'il fu gariz. Et li bons chevaliers	chevaucha_|chevaucher|_VERcjg	tant quant il fu del tornoiement partiz einsi com aventure le menoit qu'il vint
qgraal_cm, p. 207c	une forest qui duroit jusqu'a la mer, et estoit apelee Celible. Si	chevauchierent_|chevaucher|_VERcjg	le grant chemin tout le jor en tel maniere qu'il ne burent ne ne
qgraal_cm, p. 207c	est montee si se partent dou chastel et s'en vont grant aleure, si	chevauchent_|chevaucher|_VERcjg	cele nuit mout grant oirre, et tant errent que a la mer vindrent,
qgraal_cm, p. 209d	li rois Parlan que l'en apele le Roi Mehaignié tant com il ot pooir de	chevauchier_|chevaucher|_VERinf	essauça mout sainte crestienté, et honora povre gent plus que nus que l'en seust
qgraal_cm, p. 215c	remistrent en lor chemin, et adés aloit o aux la suer Perceval. Si	chevauchierent_|chevaucher|_VERcjg	tant que en la forest Gaste vindrent, et quant il i furent entre aux
qgraal_cm, p. 216b	chiés le preudome. Quant il se furent partiz de laienz, et il orent	chevauchié_|chevaucher|_VERppe	jusqu'aprés midi si aprochierent d'un chastel fort et bien seant, mes il
qgraal_cm, p. 222b	et il a pris congié a toz cels de laienz si s'en part et	chevauche_|chevaucher|_VERcjg	a granz jornees parmi les estranges regnes. Un soir avint que Lancelot se herberja
qgraal_cm, p. 222c	. Or dit li contes que quant Galaad se fu partiz de Lancelot que il	chevaucha_|chevaucher|_VERcjg	mainte jornee si come aventure le portoit une hore avant et autre arriere tant que
qgraal_cm, p. 222d	, si i demora Galaad.ii. jorz. Au tierz s'em parti, et	chevaucha_|chevaucher|_VERcjg	tant par ses jornees qu'il vint en la forest perilleuse ou il trova la
qgraal_cm, p. 223a	et comanda les freres a Dieu, et se mist en sa voie, et	chevaucha_|chevaucher|_VERcjg	.v. anz entiers ançois qu'il venist a la meson au Roi Mehaignié. Et
qgraal_cm, p. 223b	une forest grant et merveilleuse, et lors encontrerent ou travers dou chemin Boort qui	chevauchoit_|chevaucher|_VERcjg	toz sels, et quant il le conurent ne demandez mie s'il en furent
qgraal_cm, p. 223b	aim. » Einsi rassembla aventure les.iii. compaingnons que aventure avoit departiz, si	chevauchierent_|chevaucher|_VERcjg	lonc tens tant qu'il lor avint un jor qu'il vindrent au chastel de
qgraal_cm, p. z_190c	li uns des autres. Si s'achemine Galaad entre lui et ses compaignons et	chevalchent_|chevaucher|_VERcjg	tuit tant tuit.iii. que a la mer vindrent en meins de quatre jors et
qgraal_cm, p. z_191d	d'ore vint el roialme de Logres et quant il fu venuz el païs si	chevalcha_|chevaucher|_VERcjg	tant qu'il vint a Camaalot ou li rois Artus estoit si ne fu onques
atrper, p. 9, v. 252	A tant se met es grans galos Por ataindre le erranment. N'ot pas	cevaucié_|chevaucher|_VERcjg	longement Quant un tertre le vit monter. Il conmença a escrier : « Estés
atrper, p. 47, v. 1495	moi, Et g'irai por un palefroi, S'il vous plaist, que	cevaucera_|cevaucera|_VERcjg	; Car j'ai grant volenté pieça D'aler ent en vostre servise. -
atrper, p. 48, v. 1510	est montés sor son ceval. Puis oirrent aprés le vassal Tout troi ensifaitierement.	Cevaucié_|chevaucher|_NOMcom	ont bien longement En tel guise com je vous di, Tant que vint aprés
atrper, p. 48, v. 1514	, Tant que vint aprés mïedi. Adont virent le chevalier Bien loins devant ex	cevaucier_|chevaucher|_VERinf	, Mais il l'ont bien recouneü Et au destrier et a l'escu,
atrper, p. 138, v. 4385	poignant par mi un val, Et quant il counut le ceval Que li chevaliers	cevaucoit_|chevaucher|_VERcjg	, Onques isi grant joie n'ot. D'angousce rien ne li enquiert,
atrper, p. 144, v. 4578	qu'il ont trovés les esclos, Par mi une lande, des dex Qui	cevaucoient_|cevaucoient|_VERcjg	devant ex ; Serreement oirrent aprés. Entre Espinogre et Cadrés, Qui erroient plus
atrper, p. 177, v. 5628	cil sans non, qui ot enpris A querre l'Orgellox Faé, A tant	cevaucié_|chevaucher|_VERppe	et erré K'il est venus a son castel, U il faisoit tout de
atrper, p. 198, v. 6252	. Ensi grant bone aventure ait Vostre cors, comme je vaudroie. » Ensi	chevauchent_|chevaucher|_VERcjg	tote voie, Car il estoit moult pres de vespre. L'un d'els
atrper, p. 204, v. 6431	set par conte, Si com l'estoire le reconte. Tant ont erré et	chevauchié_|chevaucher|_VERppe	Qu'endroit midi ont aprocié Le chastel Cadroain le Rous, Qui moult est fiers
atrper, p. 205, v. 6485	destriers, Por l'amour monsegnor Gavain. Li chevalier oirrent a plain ; Au	chevauchier_|chevaucher|_VERinf	ont entendu Tant qu'en la forest sont venu Iloec ou l'Orguelleus Faé Ot
atrper, p. 207, v. 6535	vaslet, qui ot non Martin, Sel fait monter sor un roncin. Puis	chevaucent_|chevaucher|_VERcjg	a grant esploit. A Carlion vindrent tot droit, A l'ore que on
chartes_aube13, charte 1, p. 5, l. 22	terminee as us et as costumes de Troies. Ge avrai mon ost et ma	chevauchiee_|chevauchée|_NOMcom	si come ge avoie devant, fors tant que hom de.LX. anz ou de
chartes_aube13, charte 1, p. 5, l. 23	envoiera.I. home por lui selonc son pooir. Et se ge semoig ost ou	chevauchiee_|chevauchée|_NOMcom	en tans que foire sera, li changeeur et li marcheant qui seront en la
chartes_aube13, charte 1, p. 5, l. 24	ax sanz amende ; et, se aucuns defailloit de mon ost ou de ma	chevauchie_|chevauchée|_NOMcom	, cil qui defauroit lo m'amenderoit. Et si promet a bone foi que
chartes_aube13, charte 1, p. 5, l. 25	. Et si promet a bone foi que ge nes semondrai en ost ne en	chevauchiee_|chevauchée|_VERcjg	por ax aqoisoner fors que por mon besoig. Et si voil que chevax a
chartes_aube13, charte 1, p. 5, l. 25	por ax aqoisoner fors que por mon besoig. Et si voil que chevax a	chevauchier_|chevaucher|_VERinf	ne armeures a cez de la comune de Troies ne soient prises por detes ne
menreims, p. 3v	, ne onques ne leur fit savoir qu'il avoit empansé a faire. Et	chevaucherent_|chevaucher|_VERcjg	tant qu'il vindrent a Gerbroys ou li roys Henriz estoit seingniez. Ainsois qu'
menreims, p. 8r	par le roi Phelipe. Si avint un jour que mes sires Guillaumes des Barres	chevauchoit_|chevaucher|_VERcjg	parmi Acre, et li rois Richars ausi, et s'encontrerent. Li rois
menreims, p. 13r	a Biavais. Et la s'atendirent, et firent avantguarde et arreguarde, et	chevauchierent_|chevaucher|_VERcjg	vers Gizon. Et cil de Gizon revinrent contr'ias, et paleterent assez li uns
menreims, p. 13v	, et mes sires Guillaumes des Barres et mes sires Alains la quinte. Et	chevaucherent_|chevaucher|_VERcjg	juques a l'orme de Gizon, les aubaletiers et les charpentiers devant a bones
menreims, p. 13v	prist une grosse lance et li escrie : « Barrois, Barrois, trop avez	chevauchié_|chevaucher|_VERppe	! » Quant le Barrois le connut, si prist une grosse lance fort et
menreims, p. 15r	sa gent armer et traire cele part ou li rois estoit. Adonques li rois	chevauchoit_|chevaucher|_VERcjg	a privee mainie, et ne cuidoit avoir garde pour ce qu'il cuidoit que
menreims, p. 28v	de Mielent sont grant et riche et puissant, et mout i a de bons	chevaucheors_|chevaucheors|_NOMcom	, et mout sevent de guerre. - En non Dieu, dit li papes
menreims, p. 35v	Sire, pour Dieu merci, nous ne voulons roi si vous non, et	chevauchiez_|chevaucher|_VERcjg	hardiement contre voz anemis, et nous sommes appareillié de morir avec vous. »
menreims, p. 46v	Sire, que sejornons nous ci ? Se vous m'en volez croyre, nous	chevaucheriens_|chevaucheriens|_VERcjg	entre nous et le Temple et l'Ospital. Et sachiez, la terre est
menreims, p. 47r	- Voyre, dit li maystres, qui mout estoit hardiz et preuz, or	chevauchiez_|chevaucher|_VERcjg	queil part que vous voulez, et nous vous sivrons, ne ja, se
menreims, p. 52r	il n'en savoit mie bien le tor. Si avint un jour qu'il	chevauchoyt_|chevaucher|_VERcjg	touz armez sor un grant destrier frés et novel et bien peu, et regarda
menreims, p. 54r	nagerent tant qu'il vindrent a droit port de salu. Lors li furent appareilliés	chevaucheures_|chevauchure|_NOMcom	beles et riches, et errent tant par lor jornees qu'il vinrent a Pontoise
MirNDChartr, miracle XXII, p. 167, v. 22	la bouche, Et li chevalier tantout touche Les esperons au bon destrier Que il	chevaucheit_|chevaucheit|_VERcjg	fort et fier, Grant et inel et tout saillant, Et cil dessus,
MirNDChartr, miracle XXIV, p. 185, v. 73	. Quant parti fu de sa contree, Chacun jor, tant a grant jornee	Chevaucha_|chevaucha|_VERcjg	qu'i fu en la terre Ou ert ce trouble et cele guerre. A
MirNDChartr, miracle XXIV, p. 188, v. 212	rendre sa promesse A la seinte delivrerresse, Et graces et merci rendi. A	chevauchier_|chevaucher|_VERinf	tant entendi Qu'a Chartres liez et joieus vint Et conta quanqu'il li avint.
MirNDChartr, miracle XXVIII, p. 190, v. 117	Si s'en foui o poi de gent, O dis chevalliers seulement. De	chevauchier_|chevaucher|_VERinf	tant esploita Qu'a Lisees se receita, Et de son ost une partie Fu
RutebZ, p. 282, v. 5	vilz : Et Renars reigne ! Renars at moult reinei el reigne. Bien i	chevauche_|chevaucher|_VERcjg	a lasche reigne, Coul estendu. Hon le devoit avoir pendu, Si com
rosem1, p. 160, v. 5192	assaillir ne fere corre ne saillir. Mes li vaillant home l'assaillent et la	chevauchent_|chevaucher|_VERcjg	et poursaillent, et tant aus esperons la batent qu'il s'en aesent et
rosem1, p. 182, v. 5911	fet parair et con estoiles flamboier et les herbetes verdoier Zephyrus, quant seur mer	chevauche_|chevaucher|_VERcjg	; et quant Bise resoufle, il fauche les floretes et la verdure a l'
rosem2, p. 78, v. 10762	ou, s'il a si le cheval chier qu'il le gart por son	chevauchier_|chevaucher|_VERinf	, tourjorz iert il du cheval sires. Mes trop par est li marchiez pires
rosem2, p. 167, v. 13702	Gile, por tel a il en ceste vile, conme reïne fust vestue et	chevauchast_|chevaucher|_VERcjg	a grant sambue. Dame, por quoi tant atandez que vos ne la li
grchron1, p. 82	que tuit fussent armé ; ses batailles ordena moult bien et moult sagement, puis	chevauchierent_|chevaucher|_VERcjg	en conroi contre leur anemis qui à bataille les atendoient. Après ce que li
grchron1, p. 86	lui et la perece avoit si esmeuz sa gent maismes et ciaus qui ovec lui	chevauchoient_|chevaucher|_VERcjg	, que il se complaignoient et se conseilloient emsemble comment il porroient oster ceste honte
beauma1, p. 426	pourroient pas fere : si comme se ses sires la semont d'ost ou de	chevauchiee_|chevauchée|_NOMcom	ou pour sa meson garder, il soufist s'ele i envoie un homme soufisant
fauvel, p. 32, v. 781	mainent bestornee vie. Ne vivent mie clerjaument, Anciés vivent bestïaument : Les uns	chevaucent_|chevaucher|_VERcjg	a lorrain, Les autres sont tous jors forain, A Fauvel sont fis et
fouke, p. 37, v. 18	entour son col un molt beai tabour ; pus monta un beal palefroy, e	chevalcha_|chevaucher|_VERcjg	parmy la vile de Saloburs desqe a la porte du chastiel, e de meynt
fouke, p. 51, v. 18	qu'il ne poeit parler, e mistrent son helme sur sa teste, e	chevalcherent_|chevaucher|_VERcjg	vers le rey, e, quant yl les vist, il les conust par
moree, p. 30	si y fist fermer.j. chastel de motes sur mer, et puis commença a	chevauchier_|chevaucher|_VERinf	et guerroyer les Grex dou pays le mieulx qu'il pot. Et tant fist
moree, p. 36	sur mer ; et celle contrée est bien peuplée de riches casaux et large de	chevaucier_|chevaucher|_VERinf	par tout ; et la poez conquester et gaaigner plus legierement que en mainte contrée
moree, p. 48	et escriptes ou registre dou seignor, monseignor Goffroy ordina sa gent et commença a	chevaucier_|chevaucher|_VERinf	par le pays et de conquester sur les Grex. Et tout ainxi comme il
moree, p. 95	gentilz homme dela le Pas, que tout fussent appareilliés a la prime vere pour	chevauchier_|chevaucher|_VERinf	contre ses anemis avec lui. Si lairons a parler dou prince Guillerme et dou
moree, p. 99	plus biaux estoit et le meillor de courre et essillier le pays, et de	chevaucier_|chevaucher|_VERinf	tant avant comme il plus poroient ; et s'il avenoit par aventure que Sevastocratora
moree, p. 100	batailles. Et, ainxi que tout ce fu ordiné, si se mirent a	chevauchier_|chevaucher|_VERinf	par le pays de la Blaquie. Et li coreur aloient adès devant bien.j_e_.
moree, p. 100	Et li coreur aloient adès devant bien.j_e_. journée. Et quant il orent ainxi	chevauchié_|chevaucher|_VERppe	et coru par le pays de la Blaquie a leur voulenté, si entrerent par
moree, p. 100	il seroient seignors de tout Romanie. Lors firent ainxi comme le deviserent ; si	chevaucherent_|chevaucher|_VERcjg	tant par leurs journées qu'il vindrent à la contrée de la Pelagonie. Mais
moree, p. 101	casaux ou tout leurs jumens, asnes, boeux et vaches, et leur faisoit	chevauchier_|chevaucher|_VERinf	par les montaignes et costieres ou il conversoient ; car nostre gent herbejoient par les
moree, p. 106	trompette qui soneroit, que cescuns fust apparelliés, a toute sa bataille, de	chevauchier_|chevaucher|_VERinf	ordinéement, ainxi comme les batailles sont devisées, l'une après l'autre.
moree, p. 132	ce qu'il veoit ainxi poy contre les leurs. Et quant il ot assés	chevaucié_|chevaucher|_VERppe	sus.j. cheval, si monta sus.j. autre cheval, et sa mace en
moree, p. 140	endemain, a l'aube du jour, si ordina li princes que li Turc	chevauçaissent_|chevauçaissent|_VERcjg	adès devant, et après eaux messire Ancelins ou tout sa bataille, et puis
moree, p. 140	si vint tantost a eaux ; et parlerent ensemble ; et ordinerent comment il devoient	chevaucier_|chevaucher|_VERinf	a l'endemain. Et quant ce vint a l'endemain, messire Ancelin de
moree, p. 140	matin et vint a Mondra ou li Turc estoient herbergié ; et les ordina de	chevaucier_|chevaucher|_VERinf	premiers et de estre a la premiere bataille, et leur donna conduit de sa
moree, p. 141	meisnie, qui savoient le pays et la contrée. Et après les Turs si	chevauçoyt_|chevauçoyt|_VERcjg	messire Ancelin ou tout sa bataille ; et puis venoit li prince ou tant de
moree, p. 141	Et il, qui bien savoit la contrée, si ordina comment les batailles devoient	chevaucier_|chevaucher|_VERinf	ordinéement l'une après l'autre, et que l'une bataille se tenist près
moree, p. 142	Et quant il ot tout ordiné, si prist sa bataille et se mist a	chevaucier_|chevaucher|_VERinf	par le plain de Calamays dou val. Et quant il fu au pié de
moree, p. 142	de faire tous biens, si respondirent et dirent : « Sire, pansés de	chevaucier_|chevaucher|_VERinf	viguereusement sur nos anemis, car vraiement que nous ne vous faudrons jusques a la
moree, p. 149	de la malveise gent des Esclavons et de la Chacoignie, pour ce que je	chevauce_|chevaucher|_VERcjg	aux armes, ayant doutance de leur malveistié. » Adonc furent apaisiées toutes ces
moree, p. 149	de son ost, et leur demanda conseil comment et par quel part il porroit	chevaucier_|chevaucher|_VERinf	contre ses anemis. Si lui fut conseillié d'aler vers la cité de la
moree, p. 168	et ses batailles ; et commanda que cescune bataille deust yssir de la cité et	chevaucier_|chevaucher|_VERinf	par soy. Et puis s'arma de ses armes et ala, tous armés
moree, p. 177	et manda a ses barons que il le deussent acompaignier ; et se mist a	chevaucier_|chevaucher|_VERinf	par les chivitaneries, confortant sa gent et ordenant les frontieres et les garnisons,
moree, p. 179	legierement porroit recovrer son pays que l'empereor lui tenoit. Lors se mirent a	chevaucier_|chevaucher|_VERinf	contre mont la riviere de Charbon ainxi comme elle dure, fin au noble chastel
moree, p. 249	orent comment ils devoient faire et ordiner leur guerre. Si s'acorderent tout de	chevauchier_|chevaucher|_VERinf	tout l'ost vers le noble chastel de la Janina, pour faire lever la
moree, p. 250	dou mareschal. Et lors firent ordiner les batailles, et deviserent comment cescune devoit	chevaucier_|chevaucher|_VERinf	. Si ne vouldrent mie faire long sejour ; mais a l'endemain comme le
moree, p. 251	l'Arte et s'en aloient droit vers la Janine pour aux atteindre. Si	chevaucherent_|chevaucher|_VERcjg	tant que il vindrent seoir a la Janine. Et quant il furent la venu
moree, p. 256	que la gent des gallies ne lui feissent aucun dommage, si ne fina de	chevauchier_|chevaucher|_VERinf	de jour et de nuit, jusques a tant qu'il venist a l'Arte
moree, p. 269	il se retraisist en la barque, si ne voudrent mie aler hastivement, ains	chevaucerent_|chevaucher|_VERcjg	le beau pas. Et quant li sires de la Vautisce veit venir celle gent
moree, p. 344	faictes et ordinées ces besoingnes que nous vous contons en brief, si commença a	chevaucier_|chevaucher|_VERinf	par son pays en chasses et rivieres, et en autres deduys et en fait
moree, p. 353	Lors se leva li marescal de matin, et ordina sa gent comment il devoient	chevauchier_|chevaucher|_VERinf	. Si fit aler devant le sommage, ou il avoit plus de.c.,
moree, p. 353	penon de ses armes, pour estre cogneüx la ou il estoit ; et puis	chevauçoit_|chevaucher|_VERcjg	il et.j. chevalier delès lui. Après aloient li chevalier deux et deux,
moree, p. 353	aloient li chevalier deux et deux, et puis li escuier en ranc. Si	chevauçoient_|chevaucher|_VERcjg	si arréement que leur rote duroit bien.ij. milles. Et ainsi comme il chevauçoit
moree, p. 353	chevauçoient si arréement que leur rote duroit bien.ij. milles. Et ainsi comme il	chevauçoit_|chevaucher|_VERcjg	, si lui vint a l'encontre monseignor Bonifaces de Veronne,.j. des nobles
moree, p. 371	nostre gent vit que cil dou chastel les clamoient ainxi, si se hasterent de	chevauchier_|chevaucher|_VERinf	plus asprement, tant comme il vindrent sus la creste dou chastel. Si demanderent
moree, p. 384	prince et le mareschal de la Morée orent passé le golphe de Neopant, si	chevaucerent_|chevaucher|_VERcjg	tant par leurs journées que il vindrent a Coprinay ou il troverent monseignor Remondas,
moree, p. 397	Atthenes, qui estoit le plus poissant homme après le prince, et le mieulx	chevauchant_|chevaucher|_VERppa	, si vit les joustes qui estoient si nobles, si dist que il ne
moree, p. 399	, monseignor Guillermes Bouchars, qui bien avoit sceü comment le cheval que monseignor Jehan	chevauçoit_|chevaucher|_VERcjg	aux joustes estoit.j. des bons chevaux dou pays, mais ce que il avoit
grchron9, p. 11	comme gens forsenés et entalantez de eulz vengier, en une nuit et I jour	chevauchierent_|chevaucher|_VERcjg	et errerent tant qu'il vindrent près de l'abbaïe où estoient logiez monseigneur Jehan
GuillMachLyonH, p. 204, v. 1293	fust noire nuit serrée, Pleinne de froit et de jalée, Si ne peüssent	chevauchier_|chevaucher|_VERinf	; N'il n'eüst ville ne clochier Près a trois lieues ou a quatre
ChaceOisiiT, p. 88v	faucon. Et quant ly fauconnier sera a cheval atout le faucon, il doit	chevauchier_|chevaucher|_VERinf	souef et as lieux de quoy ly faucons puisse mains doubter car ly faucons qui
ChaceOisiiT, p. 88v	ces mouvemens et pour les lieux non conneux. Ly lieux ou ly fauconniers peult	chevauchier_|chevaucher|_VERinf	atout le faucon sont lieux ou il n'a mie palis, ne bos,
ChaceOisiiT, p. 91	il est sans vent. Se cil mauvaiz tempz viennent au fauconnier encontre quant il	chevauche_|chevaucher|_VERcjg	et il voit que ly tempz doit passer tost, il se doit reponre ou
prov, p. 22	pas tout yver. Dui chiens ne peuent a ung os. Dui gros ne	chevaucheront_|chevaucher|_VERcjg	ja bien une sele. Dui gros ne pueent en un sac. Deux loups
prov, p. 35	. Ja de l'ome mauvés ne fera on prodome. Ja dui orgueilleus ne	chevaucheront_|chevaucher|_VERcjg	bien un asne. Ja mauvés hons n'anmera preudoume. Ja mauvais manior n'
prov, p. 56	sue bien par trop grant aise. On va volantiers ou on aimme. Or	chevauche_|chevaucher|_VERcjg	maleür (e). Or commance le merle a fere son ny. Or
Berin1, p. 39	vint a terre, et on lui apresta un palefroy sur quoy il monta et	chevaucha_|chevaucher|_VERcjg	tant, entre lui et un garçon qu'il mena avec lui a pié,
Berin1, p. 233	fer ne acier, et si est rades et apers que, se je ne	chevauchasse_|chevaucher|_VERcjg	trop mieulx que uns autres, il m'eüst pieça fait jus trebucher ; et
Berin1, p. 265	ses grans courtoisies ; et adont il monta prestement sur Morel de l'aÿmant et	chevacha_|chevaucher|_VERcjg	a grant exploit, tant qu'il fu midis passez. Adont entra en une
Berin1, p. 265	mais il en estoit assez plus loing qu'il ne cuidoit. Longuement avoit Aigre	chevauchié_|chevaucher|_VERppe	et erré, et durement estoit traveilliez, quant il regarda devant soy en une
Berin1, p. 270	et s'en ala au lez la ou il avoit oÿ le cry, et	chevacha_|chevaucher|_VERcjg	tant, qu'il trouva une riche aucube dreciee et une belle damoiselle qui dedens
Berin1, p. 328	et passerent oultre en un batel le plus tost qu'ilz porent, et puis	chevaucherent_|chevaucher|_VERcjg	oultre grant aleüre au lez ou ilz esperoient la damoiselle adevancier, car ilz avoient
Berin1, p. 335	Aigres, qui estoit eschappé du puis dont il avoit tiré l'escrin. Tant	chevaucha_|chevaucher|_VERcjg	le ber a cointe d'esperon, par jour et par nuit, pour le
Berin1, p. 336	, il print congié des marchans, puis monta sur son bon destrier, et	chevaucha_|chevaucher|_VERcjg	a grant esploit ; mais il n'ot gaires chevauchié quant il vist devant lui
Berin1, p. 336	son bon destrier, et chevaucha a grant esploit ; mais il n'ot gaires	chevauchié_|chevaucher|_VERppe	quant il vist devant lui ou chemin le roy Abillans qui en enmenoit les deux
Berin1, p. 340	col de son destrier ; puis print Melia par le frain et se hasterent de	chevauchier_|chevaucher|_VERinf	. Et le roy demoura courroucié et doulent de sa honte. Et Aigres avoit
Berin1, p. 380	Blandie. Et quant il fut armé, il monta sur son cheval viguereusement et	chevaucha_|chevaucher|_VERcjg	moult fort celle part ou son filz estoit, et jura que se Aigres son
Berin2, p. 32	pou d'eure aprez y en vint.XII. qui moult hideusement braioient, puis vindrent	chevauchant_|chevaucher|_VERppa	une grant compaignie d'escuiers qui passerent oultre. Lors qu'ilz furent passé,
Berin2, p. 76	par semblant a Orchas la grant joie qu'il sentit en son cuer, ains	chevauchierent_|chevaucher|_VERcjg	tout devisant, tant qu'ilz vindrent a leur hostel ou ilz furent richement receüz
Berin2, p. 101	moult lieement pour ce qu'ilz sont eschapez de ce peril ; et nonpourquant ilz	chevaucherent_|chevaucher|_VERcjg	en moult grant doubte jusques au jour, car ilz doubtoient moult les amiz du
Berin2, p. 115	commanderent leur hoste a Dieu. Si se mirent a voie moult richement armez et	chevaucherent_|chevaucher|_VERcjg	tant parmi les rues qu'ilz vindrent a la porte du chastel, celle part
Berin2, p. 118	cheval et qui plus tost couroit, il aloit devant les autres. Et tant	chevauchierent_|chevaucher|_VERcjg	qu'ilz vindrent a Aigres et a Orchas, qui les fourriers tenoient moult cours
Berin2, p. 154	de leur allee et qui ne priast pour Aigres et pour sa compaignie. Tant	chevaucherent_|chevaucher|_VERcjg	les barons par leurs journees que ilz vindrent en la cité de Romme ; et
Berin2, p. 181	qu'ilz furent descendus, Aigres et ses compaignons si monterent sur leurs destriers et	chevaucherent_|chevaucher|_VERcjg	tant qu'ilz vindrent en la cité d'Acre, ou ilz furent receüz moult
grchron_j2c5, p. 12	Et assez tost après entrerent ou dit royaume de Castelle, et sanz aucune resistence	chevauchierent_|chevaucher|_VERcjg	par le dit royaume, et pristrent villes, citez, chasteaulx et forteresses,
grchron_j2c5, p. 13	à ceuls qui, ainsy comme dit est, conqueroient son pays. Et tant	chevauchierent_|chevaucher|_VERcjg	par le dit païz de Castelle que ilz furent, la sepmainne peneuse l'an
grchron_j2c5, p. 61	compaigne, qui estoient partiz de la forteresse de Lez en Beaujeulaiz, et avoient	chevauchié_|chevaucher|_VERppe	par la duchié de Bourgoingne jusques à Cravent, et s'en retournoient par la
regcrim1, p. 3, l. 17	et confessa que, par l'espace de huit ans et plus, il a	chevauché_|chevaucher|_VERppe	par le pays avecques plusieurs chevaliers et escuïers, dont à present il n'est
regcrim1, p. 7, l. 19	il avoit congnoissance, avecques un cheval morel sellé et bridé, sur lequel il	chevauchoit_|chevaucher|_VERcjg	ou service dudit Galois, et lequel cheval il vendi, an et demi a
regcrim1, p. 19, l. 11	Pierre Buffiere, chevalier, à Chasteauneuf en Auvergne, et que ainsi que il	chevauchoit_|chevaucher|_VERcjg	avec sondit maistre, il fu prins par un homme d'armes de la garnison
regcrim1, p. 19, l. 18	espace d'un an et plus, durant lequel temps il s'est armé et	chevauché_|chevaucher|_VERppe	avecques eulx et en leur compaignie, où l'en a pillié, robé,
regcrim1, p. 21, l. 4	, a dit et confessé que il a esté en plusieurs voyages, assemblées et	chevauchées_|chevauchée|_NOMcom	de gens d'armes, avecques lesquelx il a pillié et robé, prins chevaulx
regcrim1, p. 22, l. 18	pardonner ; et congnut, rattiffia et approuva les larrecins, efforcement de femme et	chevauchées_|chevauchée|_NOMcom	dessus diz, par lui avoir esté faiz ; et yceulx avoir congneu par devant
regcrim1, p. 23, l. 23	nom, et aussi dudit Testenoire et soubz lui, il a par plusieurs fois	chevauché_|chevaucher|_VERppe	, porté le bacinet, lui armé de jaque et de cote de fer,
regcrim1, p. 24, l. 15	ce requis, que pendant le temps d'iceulx IIIJ mois qu'il fu ès	chevauchées_|chevauchée|_NOMcom	devant dites et ès diz fourrages faiz par les varlets et serviteurs d'icellui Testenoire
regcrim1, p. 37	ouvré avec plusieurs mareschaux, duquel mestier il est ; et aussi ès armées et	chevauchées_|chevauchée|_NOMcom	qui ont esté faites par le roy ou pays de Flandres, a alé ouvrer
regcrim1, p. 55	filz d'icellui Damiglet de bas et d'une femme née de Cotentin, laquelle	chevauchoit_|chevaucher|_VERcjg	avecques lui ; et lui qui parle a esté tousjours avecques les Englois et Navarras
regcrim1, p. 56	de la rue des poulies ; lequel Jaquet pria et requist ycellui prisonnier qu'il	chevauchast_|chevaucher|_VERcjg	avecques lui, et il le monteroit bien et bel, le meneroit en la
